,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Using a basic ATK has a 70% chance to decrease Buff Duration

[Enemies] Strengthen enemies",,,,,,,,
,,,,ELYSIA-T0,,YUI-T0,,JAVE-T0,,KAGURA-T0,,KYLE-T0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Stun Immunity (always active)

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Inflicts Incoming Healing Reduction (always active)
Decreases Incoming Healing by 60% 

[Enemies] Strengthen enemies",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,SARAH-T0,,MERCURE-T0,,JURI-T0,,YEONHEE-T0,,KYLE-T0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Kill fast with XQ and Pascal. Bring Yui for immunity, or Lina for sustain if needed"
,,,,EVAN-T0,,BISCUIT-T0,,LINA-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,EVAN-T0,,BISCUIT-T0,,LINA-T0,,YUI-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EVAN-T0,,BISCUIT-T0,,YUI-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,EVAN-T0,,BISCUIT-T0,,YUI-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EVAN-T0,,BISCUIT-T0,,YUI-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,EVAN-T0,,BISCUIT-T0,,MELIA-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,ROOK,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Using a basic ATK has a 50% chance to inflict Poison for 2 turns

[Enemies] Weakens monsters",,,,,,,"[Enemies] Grants Single&Quintuple-Target ATK Resistance
Decreases DMG taken from Single&Quintuple-Target attacks by 90%
[Enemies] Strengthen monsters",,,,,,,,"- Skill 1 (ST) deals an insane amount of PDMG
- Has 100% Block Rate
- Resets Skill Cooldown when enemy falls in battle"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Rook] Skill 2 Barrier duration increases to 6 turns

[Enemies] Strengthen monsters",,,,,,,,
,,,,,,,,ROOK-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Boosts Poison DMG
Increases Poison DMG by 100%

[Enemies] Weakens monsters",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Rook] Skill 1 cooldown decreases to 60s

[Enemies] Strengthen monsters",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rook's ST skill is a guaranteed oneshot and if he kills a unit, it is immediately usable again.

If you can outspeed Rook's 150 speed, Li/Ryan can [Taunt] first. Otherwise, bring a unit that has innate [Guts] (like Ace) or use [Guts] accessory, reset until said unit tanks Rook's first ST skill. "
,,,,CHLOE-T0,,MAY-T0,,LI-T0,,EVAN-T0,,JANE-T0,,,,,,BISCUIT-T0,,VELIKA-T0,,XIAO QIAO-T0,,DAISY-T0,,BAI JIAO-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,EVAN-T0,,XIAO QIAO-T0,,DAISY-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,RYAN-T0,,XIAO QIAO-T0,,DAISY-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,EVAN-T0,,XIAO QIAO-T0,,DAISY-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,MELIA-T0,,XIAO QIAO-T0,,DAISY-T0,,BAI JIAO-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,SERA,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants MAX HP Boost (always active)
Increases MAX HP by 100%

[Enemies] Weakens monsters",,,,,,,"[Enemies] Using a basic ATK inflicts Unable to Recover

[Enemies] Strengthen monsters",,,,,,,,"- Decreases skill cooldown when enemy falls in battle
- Grants DMG Nullification for 30 hits
- All attacks deal Fixed DMG"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Sera] Skill 2 Fixed DMG increases to 6000

[Enemies] Strengthen monsters",,,,,,,,
,,,,,,,,SERA-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Guts (always active)
Survives with 1 HP upon taking lethal damage for the first time

[Enemies] Weakens monsters",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants MDMG Nullification (always active)

[Enemies] Strengthen monsters",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Any form of sustain, [Heals] or [Barrier] helps with tanking Sera's Fixed DMG. 

One-off [Heals] sustain better because Sera can reduce buff duration (i.e. Continuous Healing or Barrier). [Barrier] helps against the [Unable to Recover] debuff.

Wither down Sera's DMG Nullification before going all in with your DPS. Meeanwhile, keeping healing and casting barriers to absorb the Fixed DMG and revive when necessary. "
,,,,EVAN-T0,,ASURA-T0,,KARON-T0,,YUI-T0,,SHANE-T0,,,,,,BISCUIT-T0,,BAI JIAO-T0,,LINA-T0,,SUNWUKONG-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EVAN-T0,,YUI-T0,,BISCUIT-T0,,LINA-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,BAI JIAO-T0,,LINA-T0,,SUNWUKONG-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EVAN-T0,,RACHEL-T0,,BISCUIT-T0,,LINA-T0,,SHANE-T0,,,,,,BISCUIT-T0,,BAI JIAO-T0,,LINA-T0,,SUNWUKONG-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,ROSIE,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Death Immunity (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants Debuff Immunity (always active)

[Enemies] Strengthen enemies",,,,,,,,"- Revives all allies and gains DMG Boost per ally revived (max 20 Stacks)
- Decreases skill cooldown by 30s when ally dies
- Able to inflict Death and Effect Resist Reduction"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants 1 stack of DMG Resistance upon an ally's revival (Max 20 Stacks)
Decreases DMG taken by 4% per stack
[Enemies] Strengthens enemies",,,,,,,,
,,,,,,,,ROSIE-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Crit DMG Boost (always active)
Increases Crit DMG by 67%

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Rosie] Skill 1 grants All DMG Immunity for 2 turns

[Enemies] Strengthen enemies",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Leo's Speed has to be 1st/2nd/3rd in the team so as to land the Death Immunity again as Rosie will remove it with her first skill.

Rosie gains DMG boost and Skill Cooldown reduction whenever her minions die. Wait for her DMG Immunity to wear off and use Asura to apply [Focus Target] on her. Keep [Focus Target] up all the time and sustain your team with Asura's [Barrier] and Lina's heals.

Some people play Juri to inflict on [Souldeath] Rosie's minions thereby preventing their revival."
,,,,LEO-T0,,LINA-T0,,BISCUIT-T0,,TEO-T0,,KYLE-T0,,,,,,BISCUIT-T0,,LINA-T0,,YEONHEE-T0,,DAISY-T0,,ESPADA-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,XIAO-T0,,LINA-T0,,YEONHEE-T0,,SUNWUKONG-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,MELIA-T0,,ELYSIA-T0,,DAISY-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,LINA-T0,,YEONHEE-T0,,SUNWUKONG-T0,,ESPADA-T0,,,,,,BISCUIT-T0,,VELIKA-T0,,ELYSIA-T0,,DAISY-T0,,ESPADA-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,SILVESTA,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Using a basic attack inflicts Buff Duration Reduction by 1 turn

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants All ATK Boost (always active)
Increases All ATK by 15%

[Enemies] Strengthen enemies",,,,,,,,"- Grants Blessing: Caps DMG taken per hit to 5% of MAX HP
- Grants Guts and heals HP by 100% upon triggering Guts
- Grants Skill Cooldown reset & All DMG Immunity for 3 turns when HP falls to 75%, 50%, 25%
- Deals more DMG when All DMG Immunity is active
- Both skills heal HP by 100% of DMG dealt"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Life Drain (always active)
Recovers HP equal to 100% of DMG

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,SILVESTA-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Enemies] Inflicts Incoming Healing Reduction (always active)
Decreases Incoming Healing by 56%

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Allies] Inflicts Effect Hit Reduction (always active)
Decrease Effect Hit DMG by 22% 

[Enemies] Strengthen enemies",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[Unable to Recover] skill is essential to prevent Silvesta's [Guts] from healing him full. Otherwise, you essentially need enough DPS to clear 2 health bars within 200 turns. Time the skill well; Silvesta has a skill that cleanses himself so if you use it right before that, he will cleanse it. It also helps prevent Silvesta from healing too much during the battle.

[Barrier] can be helpful. Silvesta does not heal when his attacks damage [Barrier]; good to use before his skills.

[Buff Duration Reduction] to cut the fight shorter by removing his DMG Immunity phase. Rudy instantly removes 3 turns."
,,,,ACE-T0,,CHLOE-T0,,LINA-T0,,RACHEL-T0,,SHANE-T0,,,,,,BAI JIAO-T0,,RUDY-T0,,LINA-T0,,ACE-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,CHLOE-T0,,LINA-T0,,EVAN-T0,,KYLE-T0,,,,,,CHLOE-T0,,RUDY-T0,,ELYSIA-T0,,SUNWUKONG-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,CHLOE-T0,,LINA-T0,,KYLE-T0,,LU BU-T0,,SHANE-T0,,,,,,BAI JIAO-T0,,RUDY-T0,,ELYSIA-T0,,SUNWUKONG-T0,,SHANE-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,"FAI, JAVE, VELIKA",,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Burn Immunity (always active)

[Enemies] Weakens monsters",,,,,,,"[Allies] Inflicts Burn Immunity Ban (always active)

[Enemies] Strengthen monsters",,,,,,,,"- Fai grants all allies Death and HP Alteration Immunity
- Fai grants Barrier to self upon revival"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Using a basic ATK has a 70% chance to decrease Buff Duration

[Enemies] Strengthen monsters",,,,,,,,
,,,,,,JAVE-T0,,FAI-T0,,VELIKA-T0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants DMG Boost
Increases DMG by 25%

[Enemies] Weakens monsters",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Effect Resist Boost (always active)
Increases Effect Resistance by 25% 

[Enemies] Strengthen monsters",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alot of [Burn] in this stage. Bring enough heals to sustain. 

Evan's [Stun] can also put one unit offline to reduce the enemy's damage output for several turns.

Even with Burn Immunity Ban, double healers can still be necessary especially after strengthening of enemies. In general with sufficient bulk, they do not do too much damage."
,,,,BISCUIT-T0,,EVAN-T0,,KARON-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,YUI-T0,,LINA-T0,,SUNWUKONG-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,LINA-T0,,SHANE-T0,,KYLE-T0,,LU BU-T0,,,,,,BISCUIT-T0,,DAISY-T0,,LINA-T0,,SUNWUKONG-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BISCUIT-T0,,ELYSIA-T0,,LINA-T0,,RYAN-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,VELIKA-T0,,LINA-T0,,RYAN-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,CHANCELLOR,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Guts (always active)
Survives with 1 HP upon taking lethal damage for the first time

[Enemies] Weakens monsters",,,,,,,"[Enemies] Inflicts Souldeath for 5 turns 
Souldeath prevents Revive and Immortality from activating

[Enemies] Strengthen monsters",,,,,,,,"- Inflicts DEF Reduction of 15% on caster upon revival of ally (max 4 Stacks)
- When an ally falls in battle, deals 3000 fixed DMG
- Minions can revive once per battle
- Grants [Unbreakable Will] upon revival and can consume it to deal extra DMG"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants DEF Boost (always active)
Increases DEF by 54%

[Enemies] Strengthen monsters",,,,,,,,
,,,,,,,,CHANCELLOR-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants MAX HP Boost
Increases MAX HP by 100%

[Enemies] Weakens monsters",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Inflicts Incoming Healing Reduction (always active)
Decreases Incoming Healing by 56% 

[Enemies] Strengthen monsters",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The idea here is essentially to kill 1 minion at a time and heal up so as to not get wrecked by the 3000 Fixed DMG. Meanwhile, Li will tank with this PDMG immunity as you heal up over and over and eventually clear the boss."
,,,,LI-T0,,EVAN-T0,,YUI-T0,,LINA-T0,,PASCAL-T0,,,,,,LINA-T0,,ALICE-T0,,JURI-T0,,SHANE-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,ALICE-T0,,LINA-T0,,FREYJA-T0,,TRUDE-T0,,KYLE-T0,,,,,,LINA-T0,,EVAN-T0,,BISCUIT-T0,,ALICE-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LINA-T0,,BRANZE&BRANSEL-T0,,ELYSIA-T0,,KYLE-T0,,LU BU-T0,,,,,,LINA-T0,,BRANZE&BRANSEL-T0,,ELYSIA-T0,,SHANE-T0,,LU BU-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,RAHKUN,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants DMG Boost (always active)
Increases DMG by 28%

[Enemies] Weakens monsters",,,,,,,"[Enemies] Grants Life Drain. (always active)
Recovers HP equal to 100% of damage

[Enemies] Strengthen monsters",,,,,,,,"- Grants Front Row allies PDMG Resistance of 99%
- Skills allow changing between PDMG and MDMG Resistance of Front Row allies
- Taunts"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Grants Debuff Immunity (always active)

[Enemies] Strengthen monsters",,,,,,,,
,,,,,,,,RAHKUN-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Enemies] Inflicts Increased DMG Taken (always active)
Increase DMG taken by 28%

[Enemies] Weakens monsters",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Enemies] Using a basic ATK has a 70% chance to decrease Buff Duration

[Enemies] Strengthen monsters",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rahkun and his minions swap between PDMG and MDMG Resistance. Time your hits. 

Battle does not end with Rahkun dead. Entire enemy party needs to die. 

However, as the boss taunts without MDMG Resistance, he may die earlier than the minions. The battle continues and if the minions happen to have MDMG Resistance on them after the boss has fallen, then this will become a very long battle. "
,,,,LI-T0,,EVAN-T0,,LINA-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,RYAN-T0,,EVAN-T0,,LINA-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LI-T0,,EVAN-T0,,LINA-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,BRANZE&BRANSEL-T0,,ELYSIA-T0,,KAGURA-T0,,KYLE-T0,,LU BU-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LI-T0,,EVAN-T0,,LINA-T0,,XIAO QIAO-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,EVAN-T0,,LINA-T0,,RYAN-T0,,SUNWUKONG-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,,,DELLONS,,,,,,,,,,,,,Effect Descriptions:,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Grants Silence Immunity (always active)

[Enemies] Weakens enemies",,,,,,,"[Enemies] Grants Weakness Hit Chance Boost (always active)
Increases Weakness Hit Chance by 30%

[Enemies] Strengthen enemies",,,,,,,,"- Grants DMG Nullification for 10 hits
- Grants PATK Boost of 7% upon activing skill (max 10 Stacks)
- ST grants DMG Nullification for 30 hits"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Dellons] Skill 1 inflicts Execution

[Enemies] Strengthen enemies",,,,,,,,
,,,,,,,,DELLONS-T0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"[Allies] Using a basic ATK has a 50% chance to inflict Bleed for 2 turns

[Enemies] Weakens enemies",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"[Dellons] Skill 2 DMG Nullification count increases to 40 hits

[Enemies] Strengthen enemies",,,,,,,,
,CURRENT FLOOR: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Taunt - Li, Knox, Ryan
Silence Immunity - Jin,  Cleo

Reset your round until his first ST doesnt kill any of your unit. Then [Taunt] prior to every subsequent ST skill he uses. Save Pascal's skills when Dellons no longer has DMG Nullification to quickly nuke him down.

Bring DoT accessories to help shave off [DMG Nullification]; Burn, Poison, Bleed

If none of your units can tank Dellons' first ST skill, consider bringing a unit with innate [Guts] or [DMG Immunity] or [DMG Nullification] like Ace, Teo, Yeonhee, Yushin, Feng Yan and reset until that respective unit tanks the first ST."
,,,,JIN-T0,,LI-SE,,BISCUIT-T0,,LINA-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,JIN-T0,,BAI JIAO-T0,,LINA-T0,,PASCAL-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,JIN-T0,,LI-SE,,JOKER-T0,,LINA-T0,,PASCAL-T0,,,,,,BISCUIT-T0,,JIN-T0,,JOKER-T0,,RYAN-T0,,PASCAL-T0,,,,,,,,
