,,,,,,,,,,,,
,,,RARITY,,,3*-6* PETS,,,,PASSIVE 1,,PASSIVE 2 
,14,Four Lords of Old,Legendary,,,,MERPARROW,,,"[Effect Probability Boost]
Increases Effect Probability by 10%

Enhanced:
1. N/A
2. Increases Effect Probability by 11%
3. Increases Effect Probability by 12%",,"[Effect Hit Rate Boost]
Increases Effect Hit Rate by 19%

Enhanced:
1. Increases Effect Hit Rate by 21%
2. Increases Effect Hit Rate by 23%
3. Increases Effect Hit Rate by 25%"
,,,,,,,,,,,,
,15,Other,Legendary,,,,ERI,,,"Increases Hero drop rate in Adventure by 10%

Enhanced:
1. Increases Hero drop rate in Adventure by 11%
2. Increases Hero drop rate in Adventure by 12%
3. Increases Hero drop rate in Adventure by 13%",,
,,,,,,,,,,,,
,16,Other,Legendary,,,,MOLE,,,"Increases Equipment drop rate in Adventure by 30%

Enhanced:
1. Increases Equipment drop rate in Adventure by 33%
2. Increases Equipment drop rate in Adventure by 36%
3. Increases Equipment drop rate in Adventure by 39%",,
,,,,,,,,,,,,
,17,Other,Legendary,,,,MICK,,,"Gain 20% more Gold from Adventure

Enhanced:
1. Gain 22% more Gold from Adventure
2. Gain 24% more Gold from Adventure
3. Gain 26% more Gold from Adventure",,
,,,,,,,,,,,,
,18,Aisha,Rare,,,,MEWMEW,,,"[DMG Boost]
Increases DMG dealt by 10%

Enhanced:
1. Increases DMG dealt by 11%
2. Increases DMG dealt by 12%
3. Increases DMG dealt by 13%",,
,,,,,,,,,,,,
,19,Aisha,Rare,,,,LITTLE FENG,,,"[Crit DMG Boost]
Increases Crit DMG by 25%

Enhanced:
1. Increases Crit DMG by 27%
2. Increases Crit DMG by 29%
3. Increases Crit DMG by 31%
",,
,,,,,,,,,,,,
,20,Aisha,Rare,,,,NINA,,,"[Crit Rate Boost]
Increases Crit Rate by 17%

Enhanced:
1. Increases Crit Rate by 19%
2. Increases Crit Rate by 21%
3. Increases Crit Rate by 23%",,
,,,,,,,,,,,,
,21,Holy Cross Crusaders,Rare,,,,SHERRY,,,"[PATK Boost]
Increases PATK by 17%

Enhanced:
1. Increases PATK by 18%
2. Increases PATK by 19%
3. Increases PATK by 21%",,
,,,,,,,,,,,,
,22,Holy Cross Crusaders,Rare,,,,NIKKI,,,"[Effect Hit Rate Boost]
Increases Effect Hit Rate by 25%

Enhanced:
1. Increases Effect Hit Rate by 27%
2. Increases Effect Hit Rate by 29%
3. Increases Effect Hit Rate by 31%",,
,,,,,,,,,,,,
,23,Terra ,Rare,,,,NOTE,,,"[MATK Boost]
Increases MATK by 17%

Enhanced:
1. Increases MATK by 18%
2. Increases MATK by 19%
3. Increases MATK by 21%",,
,,,,,,,,,,,,
,24,Terra,Rare,,,,PARAGON,,,"[DEF Boost]
Increases DEF by 17%

Enhanced:
1. Increases DEF by 18%
2. Increases DEF by 20%
3. Increases DEF by 22%",,
,,,,,,,,,,,,
,25,Adventurer,Rare,,,,CROA,,,"[All ATK Boost]
Increases All ATK by 12%

Enhanced:
1. Increases All ATK by 13%
2. Increases All ATK by 14%
3. Increases All ATK by 16%",,
,,,,,,,,,,,,
,26,Evan Expedition,Rare,,,,HELLEPIN,,,"[Block Rate Boost]
Increases Block Rate by 17%

Enhanced:
1. Increases Block Rate by 19%
2. Increases Block Rate by 21%
3. Increases Block Rate by 23%",,
,,,,,,,,,,,,
,27,Adventurer,Rare,,,,MIMIC,,,"Gain 10% more Gold from Adventure

Enhanced:
1. Gain 11% more Gold from Adventure
2. Gain 12% more Gold from Adventure
3. Gain 13% more Gold from Adventure",,
,,,,,,,,,,,,
,28,Evan Expedition,Rare,,,,DOO,,,"Increases Equipment drop rate in Adventure by 10%

Enhanced:
1. Increases Equipment drop rate in Adventure by 11%
2. Increases Equipment drop rate in Adventure by 12%
3. Increases Equipment drop rate in Adventure by 13%",,
,,,,,,,,,,,,
,29,,Rare,,,,IGRIS,,,"[Boss Vulnerability]
Increases all DMG boss takes by 14%

Enhanced:
1. Increases all DMG boss takes by 16%
2. Increases all DMG boss takes by 18%
3. Increases all DMG boss takes by 20%",,"[ALL ATK Boost]
Increases all ATK by 7%

Enhanced:
1. Increases all ATK by 8%
2. Increases all ATK by 9%
3. Increases all ATK by 10%"
,,,,,,,,,,,,
,30,Holy Cross Crusaders,Uncommon,,,,R-RL,,,"[Effect Hit Rate Boost]
Increases Effect Hit Rate by 16%",,
,,,,,,,,,,,,
,31,Terra,Uncommon,,,,BAY,,,"[Weakness Hit Chance Boost]
Increases Weakness Hit Chance by 11%",,
,,,,,,,,,,,,
,,Evan Expedition,Uncommon,,,,LI-KUH,,,"[Block Rate Boost]
Increases Block Rate by 11%",,
,,,,,,,,,,,,
,,Evan Expedition,Uncommon,,,,KAREN,,,"[Outgoing Healing Boost]
Increases Outgoing Healing by 14%",,
,,,,,,,,,,,,
,,Evan Expedition,Uncommon,,,,AIVAN,,,"[MAX HP Boost]
Increases MAX HP by 11%",,
