,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,BASE,,5,89,5,89,5,91,5,99,,,,,,,5,97,5,91,5,63,5,97,,,,,
,,,,T4,,-,,-,,18,,18,,,,,,,,-,,14,,18,,-,,,,,,
,,,,GEARS,,84,,84,,68,,76,,,,,,,,92,,72,,40,,92,,,,,,
,,,,ACC,,10,,10,,10,,-,,,,,,,,-,,10,,-,,-,,,,,,
,,,,EE,,-,,-,,-,,-,,,,,,,,-,,-,,-,,-,,,,,,
,https://youtu.be/KNPZ8jciXr0,,,PASSIVE,,-,,-,,-,,-,,,,,,,,-,,-,,33,,-,,,,,,
,,,,ALLY,,-,,-,,-,,-,,,,,,,,-,,-,,-,,-,,,,,,
,,,,TOTAL:,,99,,20,,87,,NOT IMPT,,NOT IMPT,,,,,,84,,0,,94,,20,,NOT IMPT,,,,
,,,,T4,,20,60,20,20,20,60,,,,,,,,,-,20,-,0,-,40,20,20,,,,,
,,,,GEARS,,40,,-,,40,,,,,,,,,,20,,-,,40,,-,,,,,,
,,,,ACC,,-,,-,,-,,,,,,,,,,10,,-,,-,,-,,,,,,
,,,,EE,,-,,-,,-,,,,,,,,,,-,,-,,-,,-,,,,,,
,,,,PASSIVE,,39,,-,,27,,,,,,,,,,-,,-,,-,,-,,,,,,
,Does HP Alteration and Ignore DEF,,,ALLY,,-,,-,,-,,,,,,,,,,54,,-,,54,,-,,,,,,
,,,YEONJI,,,XIAO QIAO-T6,,MELIA-T0,,DAISY-T6,,VANESSA-T6,,LINA-T6,,,,,,FAI-T0,,XIAO-T6,,BAI LONG-T6,,LU BU-T4,,BISCUIT-T6,,WINDY,,
,,,IGRIS,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,PALADIN,,,,,,AVENGER,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,EIRIN,,
,,,NOTE,,,BOSSDMG+CWR,,BOSSDMG+CWR,,BOSSDMG+CWR,,BOSSDMG+CWR,,DOT,,,,,,BOSSDMG+CWR,,BLEED,,BOSSDMG+CWR,,BLEED,,BLEED,,SHERRY,,
,,,NOTES:,,,,,,,,,,,,,,,,,NOTES:,"Fai must have 2nd highest ATK. 
Xiao may need Guts if she dies easily. Upgrade her potentials too.",,,,,,,,,,,
,"OPTIONS:

(SKILL QUEUE AND TEAM ARE INDEPENDENT. 
PLEASE DO NOT SIMPLY TREAT THE TEAMS AS A PAIR):                                                                                                                                                                                                        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,XIAO QIAO-T6,,VANESSA-T6,,PASCAL-T6,,CHANCELLOR-SE,,MIHO-T0,,,,,,RACHEL-T6,,BISCUIT-T6,,BAI LONG-T6,,LINA-T6,,LU BU-T6,,,,
,,,,"SPEED
ORDER",,A,,B,,D,,E,,C,,,,,,B,,A,,D,,E,,C,,,,
,,,,,,29,,29,,29,,25,,29,,,,,,29,,31,,29,,19,,29,,,,
,,,SKILL QUEUE:,,,0,4,8,12,16,,,,,,,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,REGINLEIF-T0,,XIAO QIAO-T6,,PASCAL-T6,,MELIA-T0,,MIHO-T0,,,,,,RACHEL-T6,,BISCUIT-T6,,BAI LONG-T6,,LINA-T6,,FAI-T0,,,,
,,,,"SPEED
ORDER",,A,,B,,E,,C,,D,,,,,,B,,A,,D,,E,,C,,,,
,,,,,,29,,29,,29,,29,,29,,,,,,29,,31,,29,,19,,29,,,,
,,,SKILL QUEUE:,,,0,4,8,,,,,,,,,8,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,4,8,12,16,,,,,,,,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,VANESSA-T0,,XIAO QIAO-T6,,ORLY-SE,,DAISY-T6,,MELIA-T0,,,,,,LU BU-T6,,RACHEL-T6,,SHANE-T6,,LINA-T6,,BISCUIT-T6,,,,
,,,,"SPEED
ORDER",,C,,A,,E,,B,,D,,,,,,B,,C,,A,,D,,E,,,,
,,,,,,29,,33,,19,,33,,29,,,,,,29,,25,,33,,17,,17,,,,
,,,SKILL QUEUE:,,,0,4,8,,,,,,,,,,12,16,20,24,28,32,36,40,44,48,52,56,60,64,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,0,4,8,12,,,,,,,,,,16,20,24,28,32,36,40,44,48,52,56,60,64,68
