,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,Effect Probability Boost: Increases Effect Probability by 28%,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,3,,,YOO JINHO-T0,DEF,,,,,"ALL ALLIES:
● Grants [DEF Boost] (always active)
● Grants [Silence Immunity] for 2 turns
● Grants [Silence Immunity] for 2 turns upon using a basic attack",,,,"1 ENEMY:
● Deals DMG equal to 50% of PATK and 60% of DEF",,,,"1 ENEMY:
● Deals DMG equal to 145% of PATK plus 165% of DEF
● 85% chance to inflict [Stun] for 3 turns",,,,"ALL ALLIES:
● Grants [Barrier] equal to 110% of caster's DEF for 2 turns",
,,,,,,,,Skill Enhancements,,● Increases Effect: [DEF Boost] from 13% > 18%,,,,● Increases DMG: 50% > 60% of PATK and 60% > 70% of DEF,,,,● Increases Turns: [Stun] duration from 3 > 4 turns,,,,● Increases Effect: [Barrier] from 110% > 130% of caster's DEF,
,,,,,,,,Transcendence Effects,,,,,,,,,,,"Increases DMG: 145% > 170% of PATK and 165% > 200% of DEF
Increases Chance: [Stun] chance increasess from 85% > 100%        ",,,,Adds Effect: Grants [DMG Resistance] for 3 turns
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,Defense Boost: Increases Defense by 13%,,,,,,,,,,,,DMG Resistance: Decrease DMG taken by 12%,
,,,,,,,,,,,,,,,,,,,,,,,
,4,,,LEE JOOHEE-T0,SUPPORT,,,,,"ALL ALIES:
● Grants [Bleed Immunity] for 2 turns
● Grants [Bleed Immunity] for 2 turns upon using a basic attack

SELF: 
● Grants [Barrier] equal to 115% of caster's MATK for 3 turns upon using a skill",,,,"1 ENEMY:
● Deals DMG equal to 100% of MATK",,,,"3 ALLLIES:
● Heals HP equal to 85% of caster's MATK

BACK ROW ALLIES:
● Grants 1 [Debuff Removal]",,,,"3 ALLIES:
● Heals HP equal to 85% of caster's MATK",
,,,,,,,,Skill Enhancements,,Increases Effect: [Barrier] from 115% > 135%,,,,● Increases DMG: 100% > 120% of MATK ,,,,● Increases Healing: HP Recovery from 85% > 100% of MATK,,,,● Increases Healing: HP Recovery from 85% > 100% of MATK,
,,,,,,,,Transcendence Effects,,,,,,,,,,,Increases Effect: [Debuff Removal] from 1 > 2,,,,Reduces cooldown: To 75s
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Effect Descriptions,,,,,,,,,,,,,,,
