,,,,,,,,,,,,,,,,,,,,,,
,,,,,BISCUIT-T2,SOI-T0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,ALL DMG Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,CHANCELLOR-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,RACHEL-T6,KARMA-SE,BISCUIT-SE,SIEG-T0,LING LING-T0,LEO-T0,SARAH-T2,,,,,,,,,,,
,PDMG Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,MDMG Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,ALL ATK Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,ARAGON-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,RADGRID-T0,RACHEL-T0,COLT-T0,PLATIN-T0,DEO-T2,CHANCELLOR-T2,NOHO-T2,,,,,,,,,,,
,PATK Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,LUCY-T0,CLEO-T6,BANE-T6,,,,,,,,,,,,,,,
,MATK Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,YUI-T0,,,,,,,,,,,,,,,,,
,Weakness Hit Chance Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,RIN-T0,KARL HERON-T0,,,,,,,,,,,,,YORANG,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,RADGRID-T0,AQUILA-T0,RIN-T0,O'MOK-T0,,,,,,,,,,,,,,
,Crit Rate Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T0,RADGRID-T0,ARAGON-T2,JOKER-T6,,,,,,,,,,,,,,
,Crit DMG Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Increased Miss Chance,,,,,,,,,,,,,,,,,,,,,
,,,,,MELIA-T0,ELYSIA-T0,RIN-T0,CHANCELLOR-T0,ARIEL-T6,HELLENIA-T2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Incoming Healing Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,JEB,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,PALLANUS-T2,ALICE-T6,,,,,,,,,,,,,,,,
,"Outgoing Healing Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,KAREN,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Heal (Once)
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,KAGURA-T2,XIAO-T0,,,,,,,,,,,,,,,,
,"Heal (Multiple)
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,REGINLEIF-T0,LU BU-T6,SUNWUKONG-T0,KARMA-T0,KRIS-T0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,DEO-T0,BAI LONG-T0,LINA-T0,ALICE-T0,DIAOCHAN-T0,SIEG-T0,BAI JIAO-T0,CHA HAEIN-T0,LEE JOOHEE-T0,KARIN-T0,KARON-T0,LUCY-T0,HELLENIA-T0,,,,,
,"Continuous Healing
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,ORLY-SE,GUAN YU-T0,LINA-T0,ALICE-T0,KNOX-T0,YUI-T0,,,,,,,,,,,,
,"Damage-Based Healing
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,PLATIN-T0,KARMA-T0,PALLANUS-T0,,,,,,,,,,,,,,,
,"Life Drain
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,SILVESTA-T0,LEO-T2,,,,,,,,,,,,,,,,
,"Life Drain
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,MIHO-T0,,,,,,,,,,,,,,,,,
,Incoming Healing Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,REGINLEIF-T0,ACE-T0,KARL HERON-T0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,ACE-T2,MERCURE-T0,KAGURA-T0,DIAOCHAN-T6,YU SHIN-T0,,,,,,,,,,,,,
,Outgoing Healing Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Unable to Recover,,,,,,,,,,,,,,,,,,,,,
,,,,,GUAN YU-SE,BAI JIAO-SE,AMELIA-T0,CHLOE-T0,CATTY-T0,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Effect Hit Rate Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,MIST-T0,FREYJA-T0,COLT-T0,YU SHIN-T0,SPIKE-T0,LING LING-T0,,,,,,,,,MERPARROW,KREE,NIKKI,R-RL
,Effect Probability Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,GELIDUS-T0,,,,,,,,,,,,,,,,,
,"Effect Probability Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,ROSIE-T0,CHA HAEIN-T0,,,,,,,,,,,,,MERPARROW,,,
,"Effect Probability Boost
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,BAI JIAO-T0,,,,,,,,,,,,,,,,,
,"Death Effect Probability Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,KNOX-T0,AQUILA-T0,,,,,,,,,,,,,,,,
,Effect Resist Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,MERCURE-T0,KNOX-T2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,ROSIE-SE,KNOX-T0,YU SHIN-T0,,,,,,,,,,,,,,,
,"Effect Resist Boost
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,SPIKE-T0,LINA-T0,,,,,,,,,,,,,PIKE,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Stun,,,,,,,,,,,,,,,,,,,,,
,,,,,LU BU-T0,RUDY-T0,MERCURE-T0,JAVE-T0,ARAGON-T0,YOO JINHO-T0,EVAN-T0,LI-T0,JOKER-T0,JIN-T0,HOKIN-T0,,,,,,,
,Paralysis,,,,,,,,,,,,,,,,,,,,,
,,,,,CHA HAEIN-T0,REGINLEIF-SE,COLT-T0,KYRIELLE-T0,YU SHIN-T0,,,,,,,,,,,,,
,Shock,,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T0,EILEENE-T0,NIA-T0,,,,,,,,,,,,,,,
,"Freeze / 
Extreme Chill",,,,,,,,,,,,,,,,,,,,,
,,,,,GELIDUS-T0,SPIKE-T0,LANIA-T0,HEAVENIA-T0,,,,,,,,,,,,,,
,Silence,,,,,,,,,,,,,,,,,,,,,
,,,,,DELLONS-T0,ELYSIA-T0,VELIKA-T6,BANE-T0,,,,,,,,,,,,,,
,Sleep,,,,,,,,,,,,,,,,,,,,,
,,,,,YEONHEE-T0,DIAOCHAN-T0,,,,,,,,,,,,,,,,
,Petrify,,,,,,,,,,,,,,,,,,,,,
,,,,,SUNWUKONG-T0,VANESSA-T0,KAGURA-T0,CLEO-T0,,,,,,,,,,,,,,
,Blind,,,,,,,,,,,,,,,,,,,,,
,,,,,RYAN-T0,ARIEL-T0,MAY-T0,,,,,,,,,,,,,,,
,"Burn / 
Dragonflame",,,,,,,,,,,,,,,,,,,,,
,,,,,FAI-T0,RADGRID-T0,RACHEL-T0,JAVE-T0,VELIKA-T0,YURI-T0,SNIPPER-T0,MAY-T0,,,,,,,,,,
,Bleed,,,,,,,,,,,,,,,,,,,,,
,,,,,BRANZE&BRANSEL-T0,FREYJA-T0,DEO-T0,BAI JIAO-T0,BIDAM-T0,XIAO-T0,ZHAO YUN-T0,LEO-T0,SOI-T0,MAY-T0,REI-T0,,,,,,,
,Poison,,,,,,,,,,,,,,,,,,,,,
,,,,,BAI JIAO-T0,JUPY-T0,CLEO-T0,JANE-T0,MAY-T0,REI-T0,,,,,,,,,,,,
,Death,,,,,,,,,,,,,,,,,,,,,
,,,,,ROSIE-T0,MIST-T0,KRIS-T0,KNOX-T0,AQUILA-T0,,,,,,,,,,,,,
,Death Turn Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,AQUILA-T0,,,,,,,,,,,,,,,,,
,Confusion,,,,,,,,,,,,,,,,,,,,,
,,,,,RIN-T0,,,,,,,,,,,,,,,,,
,Bomb,,,,,,,,,,,,,,,,,,,,,
,,,,,COLT-T0,,,,,,,,,,,,,,,,,
,Concussion,,,,,,,,,,,,,,,,,,,,,
,,,,,AMELIA-T0,,,,,,,,,,,,,,,,,
,Fear,,,,,,,,,,,,,,,,,,,,,
,,,,,MIST-T0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Buff Removal,,,,,,,,,,,,,,,,,,,,,
,,,,,FAI-T0,RADGRID-SE,FREYJA-T0,VANESSA-T2,BISCUIT-T0,ORLY-T0,KYLE-T0,PLATIN-T0,GUAN YU-T0,CHANCELLOR-T0,DAISY-T0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,SOI-T0,JOKER-T0,NOHO-T0,BLACK ROSE-T0,CHLOE-T2,,,,,,,,,,,,,
,Buff Duration Reduction,,,,,,,,,,,,,,,,,,,,,
,,,,,ROSIE-T0,MIST-T0,PALLANUS-T0,BRANZE&BRANSEL-SE,RIN-T0,TEO-T0,ACE-T0,SILVESTA-T0,RUDY-T0,ELYSIA-T0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,DIAOCHAN-T0,MIHO-T0,NIA-T0,ARAGON-T6,LING LING-T0,SERA-T0,HEAVENIA-T0,SOI-T6,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Crowd Control Immunity (Allies),,,,,,,,,,,,,,,,,,,,,
,,,,,O'MOK-T0,MIST-T0,RANDGRID-T0,RUDY-T6,DIAOCHAN-T0,,,,,,,,,,,,,
,"Debuff Removal
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T6,O'MOK-SE,RANDGRID-T0,CHA HAEIN-T0,REGINLEIF-T0,RUDY-T0,SPIKE-T0,ACE-T2,KAGURA-T0,ELYSIA-T0,ORLY-T2,AQUILA-T0,PALLANUS-T0,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,GUAN YU-T0,XIAO QIAO-T0,BAI JIAO-T0,YU SHIN-T2,MIHO-T2,AMELIA-T0,CHA HAEIN-T0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,LEE JOOHEE-T0,SARAH-T0,HELLENIA-T0,KARIN-T0,LUCY-T0,CHLOE-T0,,,,,,,,,,,,
,PDMG Immunity,,,,,,,,,,,,,,,,,,,,,
,,,,,RYAN-T2,ZHAO YUN-T0,LI-T0,HOKIN-T0,,,,,,,,,,,,,,
,MDMG Immunity,,,,,,,,,,,,,,,,,,,,,
,,,,,HELLENIA-T0,,,,,,,,,,,,,,,,,
,"All DMG Immunity
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,ROSIE-T0,KARL HERON-T0,MIST-T2,NEZHA-T0,RANDGRID-T0,REGINLEIF-T0,PALLANUS-T0,BRANZE&BRANSEL-T0,VANESSA-T0,ELYSIA-T0,KLAHAN-T0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,BAI JIAO-T0,KNOX-T0,YU SHIN-T0,CHANCELLOR-T6,FENG YAN-T0,HEAVENIA-T6,,,,,,,,,,,,
,"All DMG Immunity
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,O'MOK-T0,GUAN YU-SE,,,,,,,,,,,,,,,,
,"DMG Nullification
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,JURI-T0,SUNG JINWOO-T0,FREYJA-T0,TEO-T0,YEONHEE-T0,DELLONS-T0,KYLE-T0,KYRIELLE-T0,RIN-T2,BALLISTA-T6,PASCAL-T0,TAKA-SE,,,,,,
,"DMG Nullification
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,KARL HERON-T6,BRANZE&BRANSEL-T6,ORLY-T6,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Immortality
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,JURI-T0,REGINLEIF-T0,TEO-T0,KRIS-T0,BANE-T0,SYLVIA-T0,,,,,,,,,,,,
,"Revive
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,ROSIE-T0,BRANZE&BRANSEL-T6,KARIN-T0,YUI-T0,,,,,,,,,,,,,,
,"Blessing
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,LU BU-T0,FREYJA-T0,SILVESTA-T0,MERCURE-T0,,,,,,,,,,,,,,
,"Guts
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,ROSIE-SE,,,,,,,,,,,,,,,,,
,"Guts
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,O'MOK-T2,PALLANUS-T0,BRANZE&BRANSEL-T0,SUNWUKONG-T0,ACE-T0,SILVESTA-T0,SPIKE-T2,COLT-T2,KYRIELLE-T0,MIHO-SE,,,,,,,,
,"Indomitable
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,RANDGRID-T0,KAGURA-T0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,"Cooldown Reduction
(Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,NEZHA-T0,RYAN-T0,CHA HAEIN-T0,VELIKA-T0,LUCY-T6,,,,,,,,,,,,,
,"Cooldown Reduction
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,SUNWUKONG-T0,ARAGON-SE,COLT-T6,ZHAO YUN-T6,,,,,,,,,,,,,,
,"Cooldown Reset
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,RANDGRID-T0,CHA HAEIN-T6,REGINLEIF-T0,LU BU-T0,RIN-T6,TEO-T2,KRIS-T2,PASCAL-T0,,,,,,,,,,
,Cooldown Reset (Allies),,,,,,,,,,,,,,,,,,,,,
,,,,,DIAOCHAN-T2,,,,,,,,,,,,,,,,,
,Cooldown Increase,,,,,,,,,,,,,,,,,,,,,
,,,,,VANESSA-T0,NIA-T0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Chain Attack (Activate again upon kill),,,,,,,,,,,,,,,,,,,,,
,,,,,LU BU-T0,BRANZE&BRANSEL-T0,FREYJA-T6,SILVESTA-T0,DELLONS-T0,KYRIELLE-T2,,,,,,,,,,,,
,DMG Boost per reduced number of targets,,,,,,,,,,,,,,,,,,,,,
,,,,,CHA HAEIN-T0,SUNWUKONG-T0,JAVE-T0,,,,,,,,,,,,,,,
,Link,,,,,,,,,,,,,,,,,,,,,
,,,,,RUDY-T0,AQUILA-T6,,,,,,,,,,,,,,,,
,"Camouflage
(Self)",,,,,,,,,,,,,,,,,,,,,
,,,,,O'MOK-T0,COLT-T0,BALLISTA-T0,JUPY-T0,JANE-T0,REI-T0,,,,,,,,,,,,
,"Barrier
(Allies/Specific Allies)",,,,,,,,,,,,,,,,,,,,,
,,,,,MELIA-T0,NEZHA-T2,RADGRID-T6,BRANZE&BRANSEL-T0,MERCURE-T0,ORLY-T0,AQUILA-T0,DEO-T6,XIAO QIAO-T0,DIAOCHAN-T0,ROOK-T0,DAISY-T2,AMELIA-T0,,,,,
,,,,,,,,,,,,,,,,,,,,,,
