,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,12,,1090,11.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,1120,11.2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,14/EVENTA5,,1150,10.9,11,11.82,11,44,880,,18.18,18,72,1440,440,1320,,63.64,63,252,5040,-400,40,920,,109.09,109,436,8720,-1400,-1280,-400,,154.55,154,616,12320,-2400,-3680,-3680
,,15+,,1180,10.6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM/EVENTA6,,1180,10.6,11,11.82,11,44,880,,18.18,18,72,1440,440,1320,,63.64,63,252,5040,-400,40,920,,109.09,109,436,8720,-1400,-1280,-400,,154.55,154,616,12320,-2400,-3680,-3680
,,EVENT6,,1250,10.0,10,13.00,13,52,1040,,20.00,20,80,1600,600,1640,,70.00,70,280,5600,0,600,1640,,120.00,120,480,9600,-1000,-400,640,,170.00,170,680,13600,-2000,-2400,-2400
,,RAID9,,1400,8.9,9,14.44,14,56,1120,,22.22,22,88,1760,760,1880,,77.78,77,308,6160,400,1160,2280,,133.33,133,532,10640,-600,640,1760,,188.89,188,752,15040,-1600,-960,-960
,,RAID10,,1500,8.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RAID11-15,3,3000,4.2,5,13.00,13,39,780,,20.00,20,60,1200,200,980,,70.00,70,210,4200,-1000,-800,-20,,120.00,120,360,7200,-2000,-2800,-2020,,170.00,170,510,10200,-3000,-5800,-5020
,,RAID11-15,2,3000,4.2,5,13.00,13,26,520,,20.00,20,40,800,-200,320,,70.00,70,140,2800,-2000,-2200,-1680,,120.00,120,240,4800,-3000,-5200,-4680,,170.00,170,340,6800,-4000,-9200,-8680
,,,,,,,*Numbers for NM stages have been adjusted to reflect the accurate amount of rewards (correcting for negligible rounding errors)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CONCLUSION
FOR F2PS:",,,,,,,,,,,PACKAGE A:,,,,PROFIT,,,PACKAGE A+B:,,,,"PROFIT 
(only due to FREE+A)",,,,PACKAGE A+B+C:,,,,LOSS in NM,,,,PACKAGE A+B+C+D:,,,,LOSS,,
,,,,,,,,,,,,,,,,BUY INSTANTLY,,,"Package B individually nets ruby losses when bought.
Farming at EVENT6 will let you breakeven with lots of EXP+Gold.",,,,"BUY FROM AREA 11 ONWARDS, FOR MORE EXP/GOLD/PROGRESSION",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,F2P will PROFIT even after buying all PACKAGE A+B Keys due to rubies converted from Free Daily Keys. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ALL 3 SUBSCRIPTION PACKS,,,,,,KEYS: 1100 (LOWER ESTIMATE),,,,,"COST: 1000 RUBIES
KEYS: 1200 KEYS",,,,,,,"COST: 5000 (1000+4000) RUBIES
KEYS: 4200 (1200+3000) KEYS",,,,,,,,"COST: 10000 (1000+4000+5000) RUBIES
KEYS: 7200 (1200+3000+3000) KEYS",,,,,,,,"COST: 16000 (1000+4000+5000+6000) RUBIES
KEYS: 10200 (1200+3000+3000+3000) KEYS",,,,,,
,TOTAL XP FOR 1 FODDER,AREA,,EXP PER ROUND,NO. OF ROUNDS TO MAX FODDER,ROUND UP,"NO. OF SETS:
183",SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,,NO. OF SETS: 200,SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,"NET GAIN/LOSS
(A ONLY)","DAILY NET GAIN
(FREE+A)",,"NO. OF SETS:
700",SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,"NET GAIN/LOSS
(B ONLY)","NET GAIN/LOSS
(A+B)","DAILY NET GAIN/LOSS
(FREE+A+B)",,"NO. OF SETS:
1200",SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,"NET GAIN/LOSS
(C ONLY)","NET GAIN/LOSS
(A+B+C)","DAILY NET GAIN/LOSS
(FREE+A+B+C)",,"NO. OF SETS:
1700",SETS ROUND DOWN,FODDERS MAXED,RUBIES GAINED,"NET GAIN/LOSS
(D ONLY)","NET GAIN/LOSS
(A+B+C+D)","DAILY NET GAIN/LOSS
(FREE+A+B+C+D)"
,12500,1,4,715,17.5,18,10.17,10,40,800,,11.11,11,44,880,-120,680,,38.89,38,152,3040,-1840,-1960,-1160,,66.67,66,264,5280,-2840,-4720,-3920,,94.44,94,376,7520,-3840,-8480,-7680
,,2 - 7,,1034,12.1,13,14.08,14,56,1120,,15.38,15,60,1200,200,1320,,53.85,53,212,4240,-960,-760,360,,92.31,92,368,7360,-1960,-2640,-1520,,130.77,130,520,10400,-2960,-5600,-4480
,,8,,1067,11.7,12,15.25,15,60,1200,,16.67,16,64,1280,280,1480,,58.33,58,232,4640,-720,-360,840,,100.00,100,400,8000,-1720,-2000,-800,,141.67,141,564,11280,-2720,-4720,-3520
,,9,,1100,11.4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10,,1133,11.0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EVENT5,,1150,10.9,11,16.64,16,64,1280,,18.18,18,72,1440,440,1720,,63.64,63,252,5040,-400,40,1320,,109.09,109,436,8720,-1400,-1280,0,,154.55,154,616,12320,-2400,-3680,-2400
,,11,,1166,10.7,11,16.64,16,64,1280,,18.18,18,72,1440,440,1720,,63.64,63,252,5040,-400,40,1320,,109.09,109,436,8720,-1400,-1280,0,,154.55,154,616,12320,-2400,-3680,-2400
,,12,,1199,10.4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,13,,1232,10.1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,EVENT6,,1250,10.0,10,18.30,18,72,1440,,20.00,20,80,1600,600,2040,,70.00,70,280,5600,0,600,2040,,120.00,120,480,9600,-1000,-400,1040,,170.00,170,680,13600,-2000,-2400,-960
,,14,,1265,9.9,10,18.30,18,72,1440,,20.00,20,80,1600,600,2040,,70.00,70,280,5600,0,600,2040,,120.00,120,480,9600,-1000,-400,1040,,170.00,170,680,13600,-2000,-2400,-960
,,15+,,1298,9.6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,NM/EVENTA6,,1298,9.6,10,18.30,18,72,1440,,20.00,20,80,1600,600,2040,,70.00,70,280,5600,0,600,2040,,120.00,120,480,9600,-1000,-400,1040,,170.00,170,680,13600,-2000,-2400,-960
,,RAID9,,1400,8.9,9,20.33,20,80,1600,,22.22,22,88,1760,760,2360,,77.78,77,308,6160,400,1160,2760,,133.33,133,532,10640,-600,640,2240,,188.89,188,752,15040,-1600,-960,640
,,RAID10,,1500,8.3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,RAID11-15,3,3000,4.2,5,21.20,21,42,840,,20.00,20,60,1200,200,1040,,70.00,70,210,4200,-1000,-800,40,,120.00,120,360,7200,-2000,-2800,-1960,,170.00,170,510,10200,-3000,-5800,-4960
,,RAID11-15,2,3000,4.2,5,21.20,21,42,840,,20.00,20,40,800,-200,640,,70.00,70,140,2800,-2000,-2200,-1360,,120.00,120,240,4800,-3000,-5200,-4360,,170.00,170,340,6800,-4000,-9200,-8360
,,,,,,,*Numbers for NM stages have been adjusted to reflect the accurate amount of rewards (correcting for negligible rounding errors)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"CONCLUSION
FOR LIGHT SPENDERS:",,,,,,,,,,,PACKAGE A:,,,,PROFIT,,,PACKAGE A+B:,,,,"PROFIT 
(only due to FREE+A)",,,,PACKAGE A+B+C:,,,,LOW PROFIT in NM,,,,PACKAGE A+B+C+D:,,,,LOSS,,
,,,,,,,,,,,,,,,,BUY INSTANTLY,,,Package B individually nets ruby losses when bought and only farming at AREA14 onwards will let you breakeven with lots of EXP+Gold.                      ,,,,"BUY FROM AREA 8 ONWARDS, FOR MORE EXP/GOLD/PROGRESSION",,,,,,,,,,,,,,,,,,
