    ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,AUTO-SKILL,,,,,,,,,,,,
,,,,"SPEED
ORDER",,D,,E,,B,,C,,A,
,,,,,,25,,25,,29,,27,,29,
,,,,ATK,,"NOT IMPT
100% CRIT AT T6",,AS HIGH AS POSSIBLE,,~4.3K+,,NOT IMPT,,~4K+,
,,,,CRIT DMG,,,,,,~300%+,,,,~220%+,
,,,,TOTAL:,,,,,,102,,,,101,
,,,,BASE,,,,,,5,69,,,5,91
,,,,T4,,,,,,18,,,,-,
,,,,GEARS,,,,,,46,,,,86,
,SPEED: 29,,,ACC,,,,,,-,,,,10,
,,,,EE,,,,,,-,,,,-,
,,,,PASSIVE,,,,,,33,,,,-,
,,,,ALLY,,,,,,-,,,,-,
,,,,TOTAL:,,NOT IMPT,,NOT IMPT,,99,,NOT IMPT,,99,
,,,,T4,,,,,,-,45,,,20,45
,,,,GEARS,,,,,,45,,,,25,
,,,,ACC,,,,,,-,,,,-,
,,,,EE,,,,,,-,,,,-,
,,,,PASSIVE,,,,,,-,,,,-,
,https://youtu.be/2_o66_LcoiI,,,ALLY,,,,,,54,,,,54,
,,,,,,GUAN YU-T2,,XIAO-T6,,BAI LONG-T6,,BISCUIT-T6,,LU BU-T2,
,,,,,,ASSASSIN,,ASSASSIN,,ASSASSIN,,GATEKEEP,,ASSASSIN,
,,,,,,BOSSDMG+CWR,,BOSSDMG+CWR,,BOSSDMG+ST,,DOT,,BOSSDMG+CWR,
,"● DEF Type and inflicts PDMG
● Has MDMG Resistance
● Grants Barrier
● Has 8K DEF (use Assassin set > Avenger set)",,NOTES:,,,"MUST use Assassin set, especially on main DPS, for more Ignore DEF from gear set effect. Leonid has insanely high DEF that Avenger set performs poorly against. 
If limited by gear, just make sure that Bai Long is using Assassin.
If Guan Yu has survival issues, use either Guts ring or Gatekeeper set.
If Lu Bu is not T6, push Xiao's still to Priority 4 instead.",,,,,,,,,
,,,,,,,,,,,,,,,
,,,RESPECTIVE OPTIONS,,,,,,,,,,,,
,,,,,,,,,,,,,,RACHEL-T6,
