,,,,
,CHANGE LOG,,,
,6/3/2026,,4.5.0,"Added Reginleif & Guan Yu
Added Reginleif & Guan Yu to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder
Updated [PVE Tierlist], [PVP Tierlist]"
,25/2/2026,,4.4.3,"Revamped [Raid], [Castle Rush], [Dungeons], [Advent Expedition] Sheets"
,23/2/2026,,4.4.2,"Updated [Farming] Sheet to include Package D
Adjusted ATTACK Type Hero Colors
Added Video URL for Hero Reviews"
,21/2/2026,,4.4.1,"Updated [PVE Tierlist], [PVP Tierlist], [Fodder], [Roles], [ToT], [MercLab] Sheets"
,19/2/2026,,4.4.0,"Added Radgrid, Bai Long, Xiao
Added Radgrid & Bai Long to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder
Added Xiao to Roles, R Hero Tier, R Hero Gear, Transcend, Fodder
Revamped [Raid] Sheet
Updated [Castle Rush] Sheet"
,12/2/2026,,4.3.1,"Adjusted Colours of Codex Pages
Adjusted Formulae of Codex Pages"
,5/2/2026,,4.3.0,"Added Lu Bu, Xiao Qiao & Ling Ling
Added Lu Bu & Xiao Qiao to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder
Added Ling Ling to Roles, R Hero Tier, R Hero Gear, Transcend, Fodder
Added [Guild Wars GvG] Sheet
Added [Equipment Sale Preset] Sheet
Updated Must-Build PVE Heroes
Updated All ATK%, DEF%, HP% Icons"
,22/1/2026,,4.2.0,"Added Pallanus, Diaochan & Zhao Yun
Added Pallanus, Diaochan to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder
Added Zhao Yun to Roles, R Hero Tier, R Hero Gear, Fodder
Changed Hero Typing from PHYS > ATK, TANK > DEF
Updated [Castle Rush] Sheet"
,8/1/2026,,4.1.0,"Added Branze&Bransel & Bai Jiao
Added Branze&Bransel & Bai Jiao to Roles, L Hero Tier, L Hero Gear, Transcend, Fodder
Revamped [L Gears], [R Gears] Sheet"
,3/1/2026,,4.0.1,"Reorganized [L Tier], [R Tier], [L Hero Transcendence] Sheets & added SSS Tiering"
,2/1/2026,,4.0.0,"Revamped [PVE Tierlist], [PVP Tierlist] Sheets
Updated & Simplified [Dungeon], [Raid], [Castle Rush] Sheets
Revamped [Skill Enhancement Priority], [Hero Enhancement Priority] Sheets"
,23/12/2025,,3.8.0,"Added Sun Wukong, Gelidus & Melia
Added Sun Wukong, Gelidus & Melia to L Hero Tier, L Hero Gear, L Hero Transcend
Edited Silvesta's Icons
Updated Castle Rush Video Links
Updated Stage 15 Power Up Dungeon Teams"
,11/12/2025,,3.7.0,"Added Freyja to L Hero Tier, L Hero Gear, Transcend, PVP Tierlist, PVE Tierlist"
,6/12/2025,,3.6.1,"Added Gear Set Icon in PVE Sheets
Added Event Accessories to [Accessories] Sheet"
,22/10/2025,,3.6.0,"Added [Adventure Stage & Nightmare] Sheet
Revamped [Tower of Trials] Sheet"
,27/11/2025,,3.5.0,"Added Trude & Ryan
Added Trude & Ryan to L Hero Tier, L Hero Gear, L Hero Transcend
Updated Windy, Dello, Richel post-rework
Added [Packs Tierlist] Sheet
Updated [Shops] Sheet"
,17/11/2025,,3.4.1,"Added Elysia to L Hero Tier, L Hero Gear, Transcend, PVP Tierlist, PVE Tierlist
Added Pet Wish List Summon Voucher to Shops"
,13/11/2025,,3.4.0,"Added Elysia
Added Elysia to Roles
Updated [Buff Duration Reduction] effect wording in Codexes"
,31/10/25,,3.3.1,"Added Kyrielle Icons
Added Kyrielle to Roles, L Hero Tier, L Hero Gear, Transcend, PVP Tierlist, PVE Tierlist"
,30/10/2025,,3.3.0,"Added Kyrielle
Updated Kris skills post-rework"
,22/10/2025,,3.2.0,"Added [L Hero Transcendence] Sheet
Added [Shops] Sheet
Edited Leo's Type
Added YouTube links to [Castle Rush] Sheet
Added coloured backgrounds to Hero Icons & Pet Icons
Changed Watermarks & remade all Hero, Boss, Pet, Costume & Banner Art Icons AGAIN"
,16/10/2025,,3.1.0,"Added Kyle & Aquila
Added Kyle & Aquila to L Hero Tier, L Hero Gear, PVE Tierlist, PVP Tierlist"
,13/10/2025,,3.0.0,"Remade all Hero, Boss, Pet, Costume & Banner Art Icons
Added Watermarks due to theft
Added Fodder Row in PVE Tierlist
Updated [PVE Tierlist] & [PVP Tierlist]
Adjusted Sheet Name capitalization and further shortening where possible
Added Concussion & Indomitable to [Roles]
Added 4 Lords of Old Equipment to [Gears]
Updated Gear Main Stats to show Maximum Values
Improved Codex Visual consistency"
,6/10/2025,,2.11.0,Added [Advent Expedition] Sheet
,1/10/2025,,2.10.0,"Added Kagura & Amelia
Added Kagura & Amelia to L Hero Tier, L Hero Gear
Updated Advent Tierlist on L Hero Tier & R Hero Tier
Updated Velika, Bidam & Sarah's skills post-rework"
,23/9/2025,,2.9.1,"Updated Miho's Portrait to L Hero
Edited Mew Mew, Mimic & Doo's Portraits
Added Miho to [Roles]
Added Weakness Hit DMG Boost to [Roles]
Updated Castle Rush Top-Scoring Teams
Updated [PVP Tierlist] to show Meta Teams"
,17/9/2025,,2.9.0,"Added Klahan & Miho
Added Klahan & Miho to L Hero Tier, L Hero Gear, PVE Tierlist
Added [Pet Tierlist] Sheet
Updated [PVE Tierlist] & [PVP Tierlist]
Updated [Farming] Sheet
Reorganized [PVE Tierlist]
Updated [L Hero Tier] & [R Hero Tier]
Updated & Simplified [Dungeon], [Raid], [Castle Rush] Sheets"
,4/9/2025,,2.8.1,"Updated PVP Meta Teams
Updated Castle Rush Top-Scoring Teams
Updated Daisy's and Karon's Recommended Gears
Updated Tower of Trials Boss Columns"
,06/09/2025,,2.8.0,Added [L Hero Gears] & [R Hero Gears] Sheets
,4/9/2025,,2.7.1,"Added Orly & Daisy
Added Orly & Daisy to L Hero Tier, Roles, PVE Tierlist, Raids
Updated Raid Recommended Units
Changed [Banners] sheet to [Updates]
Updated Event Story Banner art"
,25/8/2025,,2.6.1,"Edited Aragon's Type
Edited Biscuit's Rarity"
,21/8/2025,,2.6.0,"Added Biscuit
Added Biscuit to L Hero Tier, Roles, PVE Tierlist, Raids, Castle Rush
Updated Raid T15 Recommended Units
Updated [Gears] Sheet with revamped effects
Updated Shane, Sieg, Rachel, Aragon and Juri's Skill effects"
,18/8/2025,,2.5.0,"Added [Tower of Trials] Guide Sheet
Adjusted Tower of Trials Hero Tiers in [L Hero Tier] & [R Hero Tier]"
,15/8/2025,,2.4.1,Added Costumes to [Banners]
,10/8/2025,,2.4,Added [Mercure's Lab] Guide Sheet
,7/8/2025,,2.3.0,"Added Platin
Added Tower of Trials Hero Tiers in [L Hero Tier] & [R Hero Tier]
Added new Accessories
Added Shortcuts in [Pets] & [Accessories]"
,24/7/2025,,2.2.2,"Added Colt
Added Colt to L Hero Tier, Roles, PVE & PVP Tierlist
Adjusted Yeonji's Portrait"
,21/7/2025,,2.2.2,"Edited Rook's S1 Description
Edited Yuri's Passive Description
Edited Rin's Passive Description
Edited Rin's Content Ranking
Edited Accessories Hyperlink"
,16/7/2025,,2.2.1,"Added Rin & Karma to Roles, PVE & PVP Tierlist
Added [L Hero Tier] & [R Hero Tier] Sheets
Adjusted PVE Tierlists
Revamped PVP Tierlist to add Magic and Physical Team and Pets
Added missing icons in Roles
Added Power Up Dungeon Most Efficient Teams
Added Raid Most Efficient Teams
Updated Castle Rush Top-Scoring Teams
Adjusted Sheet Names"
,10/7/2025,,2.2.0,Added Rin & Karma
,26/6/2025,,2.1.0,"Added Mercure
Added Mercure to Roles, PVE & PVP Tierlist
Adjusted Ruby Farming statistics to show Ruby Profit
Adjusted PVE & PVP Tierlists"
,22/6/2025,:,2.0.2,Added KR Text to PVE Content Sheets
,21/6/2025,,2.0.1,"Edited Jin's S1 Targetting
Edited Aragon's Skill Enhancement Effect and Transcendence Bonuses
Edited Dellons' T6 Effect
Edited Vanessa's T2 Effect
Edited Rook's T6 Effect Description
Edited Chancellor's Skill Enhancement Effect
Edited Alice's Skill Enhancement Effect and S1 Effect Durations
Edited Espada's S2 Effect
Edited Lina's Passive Skill Description
Edited Pascal's Passive and S1 Icons
Edited Yui's S2 Effect"
,19/5/2025,:,2.0.0,"Added T2, T6 and Skill Enhanced Hero Icons
Added Skill Enhancement Effects and Transcended Bonuses in Roles
Added Pets to Roles
Added additional Boss Information to Raids
Edited Formula for all Hero Image cells
Updated Welcome Page to include mini Change Log and Sheet Update icons
Updated Hero Skill Pages visually
Updated Back To Top icon
Updated to show if Buffs are for Self or Allies in Roles
Adjusted PVE Tierlist"
,18/6/2025,:,1.4.3,"Added Castle Rush Top-Scoring Teams
Updated Banner Art to include Hero Names"
,17/6/2025,:,1.4.2,Updated Castle Rush & Power Up Dungeon Recommended Units
,13/6/2025,:,1.4.1,"Major Adjustments to PVE and PVP Tierlist
Adjusted Rarity Naming of Pets and Accessories
Added Adjustments Log to PVP Tierlist 
Updated Banner Art"
,12/6/2025,:,1.4.0,"Added Yeonhee
Added Yeonhee to Roles, PVE & PVP Tierlist"
,11/6/2025,:,1.3.0,"Added [Gears] Sheet
Added [Accessories] Sheet
Added [Banner Tracker] Sheet
Added Adjustments Log to PVE Tierlist "
,10/6/2025,:,1.2.1,"Added Teo and Taka to Roles, PVE & PVP Tierlist
Adjusted row colour of Physical Vulnerability debuff in Roles
Adjusted column size of Rare Heroes
Adjusted Row Freeze on sheets"
,29/5/2025,:,1.2.0,Added Teo and Taka
,19/5/2025,:,1.1.2,Updated All Pet Icons to HD
,25/5/2025,:,1.1.1,"Edited some issues with Text Wrapping
Corrected typings of Li and Knox from Universal to Tank
Edited hero recommendations for Fire Particle Dungeon"
,24/5/2025,:,1.1.0,"Added [Castle Rush] Sheet
Added [Farming Efficiency] Sheet
Adjusted size of Hero Icons and Text in PVE Sheets
Updated Raid Boss Portraits to HD
Updated Growth Dungeon Boss Portraits to HD
Updated All Hero Icons, Hero Skill Icons, Pet Cheer Icons to HD
Updated Roles Sheet with Icons"
,23/5/2025,:,1.0.1,"Fixed alignment of Hero Icons
Fixed Dellons Hero Icon
Hid Hero Rarity and Faction column
Minor Adjustments in PVE Tierlist"
,19/5/2025,:,1.0.0,Sheet Launch
