,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AUTO-SKILL,,,,,,,,,,,,,AUTO-SKILL,,,,,,,,,,
,,,,,DAISY-T6,,KARON-T6,,ESPADA-T6,,BISCUIT-T6,,MELIA-SE,,,,,DAISY-T6,,KARON-T6,,ESPADA-T6,,,,
,,,,,AVENGER,,GATEKEEP,,AVENGER,,GATEKEEP,,GATEKEEP,,,,,AVENGER,,GATEKEEP,,AVENGER,,,,
,,,,,BOSSDMG+CWR,,DOT,,BOSSDMG+ST,,DOT,,DOT,,,,,GUTS,,DOT,,GUTS,,,,
,,,NOTES:,,,,,,,,,,,,,NOTES:,,Try to get some Weakness Hit on Espada if possible too to achieve higher DMG. ,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,T15,,"PETRIFY
IMMUNITY",,"BLEED
IMMUNITY",,DPS,,"DEF DOWN (P)
+WEAKNESS HIT",,"HEAL
DMG BOOST
DEF DEBUFF (A)",,,T10,,"PETRIFY
IMMUNITY",,"BLEED
IMMUNITY",,DPS,,"DEF DOWN (P)
+WEAKNESS HIT",,"HEAL
DMG BOOST
DEF DEBUFF (A)"
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPEED: 240,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"● Support Type and inflicts MDMG
● Summons ""Red Boils"" with high DMG Resistance buff, hence the need for Buff Removal
● Ox King himself has 0 Defense so DEF Reduction does not influence DMG output",,AUTO-SKILL,,,,,,,,,,,,,AUTO-SKILL,,,,,,,,,,
,,,,,DAISY-T2,,KARON-T6,,ESPADA-T2,,BISCUIT-T2,,LINA-T0,,,,,BLACK ROSE-T6,,KARON-T2,,ESPADA-T0,,BISCUIT-SE,,LINA-T0
,,,,,AVENGER,,GATEKEEP,,AVENGER,,GATEKEEP,,PALADIN,,,,,ASSASSIN,,GATEKEEP,,AVENGER,,GATEKEEP,,PALADIN
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,NOTES:,,Daisy may require a DMG Taken Reduction piece if she is not at T2 and unable to cast the barrier when both skills are used. You may also use Orly over Lina to increase Crit Rate & Crit DMG sufficiently if gears lack some %.,,,,,,,,,,,NOTES:,,"Make sure Black Rose has high Crit Rate in order to kill the minions. Sometimes if she dies too easily, you will need 1 DMG Taken Reduction armor with 1 ATK piece. Some players also run Gatekeeper set for her but with Crit Rate main stats on weapons.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://youtu.be/v17f_D8Sqls,,,,,,https://youtu.be/jB-eSsUPB3U,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"IRON DEVOURER
강철의 포식자",,"SPEED
CLEAR",,"PARALYZE
IMMUNITY",,+MDMG,,DPS,,"DEF DOWN (P)
+WEAKNESS HIT",,MAGIC VUL (P),,,"T15
2-MAN
FARM",,,,"PARALYZE
IMMUNITY",,DPS,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,AUTO-SKILL,,,,,,,,,,,,,AUTO-SKILL,,,,,,,,,,
,,,,,XIAO QIAO-T6,,KYRIELLE-SE,,PASCAL-T6,,BISCUIT-T6,,MELIA-SE,,,,,,,XIAO QIAO-T6,,PASCAL-T6,,,,
,,,,,AVENGER,,AVENGER,,AVENGER,,GATEKEEP,,GATEKEEP,,,,,,,AVENGER,,AVENGER,,,,
,,,,,BOSSDMG+CWR,,BLOCK,,BOSSDMG+ST,,DOT,,DOT,,,,,,,GUTS,,GUTS,,,,
,,,NOTES:,,,,,,,,,,,,,NOTES:,,"Without Biscuit, both farmers must have 100% Weakness (otherwise you would be gambling with a chance of them hitting the side heads and this will result in failure).",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,T10/T15,,"PARALYZE
IMMUNITY",,"POISON
IMMUNITY",,DPS,,"DEF DOWN (P)
+WEAKNESS HIT",,"HEAL
DMG BOOST
DEF DEBUFF (A)",,,"T15
3-MAN
FARM",,,,"PARALYZE
IMMUNITY",,DPS,,"POISON
IMMUNITY",,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,SPEED: 70,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"● DEF Type and inflicts PDMG
● Has PDMG Resistance
● Center Head starts with lowest HP among the three heads, making weakness hit chance an important mechanic in this raid",,AUTO-SKILL,,,,,,,,,,,,,AUTO-SKILL,,,,,,,,,,
,,,,,XIAO QIAO-T2,,LUCY-T6,,PASCAL-T6,,BISCUIT-SE,,LINA-T2,,,,,,,XIAO QIAO-T6,,SUNWUKONG-T6,,LUCY-T6,,
,,,,,AVENGER,,GUARDIAN,,AVENGER,,GATEKEEP,,PALADIN,,,,,,,AVENGER,,AVENGER,,GUARDIAN,,
,,,,,,,,,,,,,,,,,,,,GUTS,,GUTS,,BLOCK,,
,,,NOTES:,,"For the best results, gear heroes with high Weakness Hit Chance stats/substats so that they will aim the middle head more consistently. Particularly Lucy, who can reduce the middle head's PDMG dealt.",,,,,,,,,,,NOTES:,,"Without Biscuit, both farmers must have 100% Weakness Hit Chance. Even though Wukong has AOE DMG, his basic ATK also needs to land on the middle head.",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,https://youtu.be/bgFtYl0Alsc,,,,,,https://youtu.be/9VYK_sK4IC4,,,,,,,,,,,,,,,,,
